ref='/players/playerpage/2901324?o_pos=U'data-o_pos="U">Shohei Ohtani, 2901324?o_pos=U'data-o_pos="U">Shohei Ohtan, P|UT
Jack Dreyer, 29086774, P
Tai Tiedemann, 28838889, P
Kyle Survance, 2915543, OF|UT
Eliezer Alfonzo, 2829295, C|UT
Justin Dirden, 28837561, OF|UT
Jordy Vargas, 29106587, P
Chase Strumpf, 3152098, 1B|UT
Alex McFarlane, 29068170, P
Keyber Rodriguez, 2931025, SS|UT
Wilfredo Lara, 29088539, SS|UT
Matt Pita, 2933016, OF|UT
Lorenzo Quintana, 2915789, C|UT
Will Childers, 29676683, P
Titus Dumitru, 29676689, OF|UT
Evan Edwards, 28837562, 1B|UT
Rudy Flores, 2118828, 1B|UT
Gilberto Jimenez, 2930895, OF|UT
Bill Sullivan, 2837578, P
Bobby Wernes, 2921053, 3B|UT
Matt Juengel, 2120715, 3B|UT
Ian Oxnevad, 2453419, P
Jake Fox, 28838883, OF|UT
Justin Armbruester, 29075720, P
Cameron Sullivan, 29644501, P
Jason Lopez, 2823927, C|UT
Tanner Kirwer, 2837084, OF|UT
Antonio Nunez, 2824700, SS|UT
Curtis Taylor, 2826172, P
Vinny Siena, 2804509, 2B|UT
Kevin Stevens, 29674758, P
Elijah Dale, 29676984, P
Jordy Lara, 2120795, 1B|UT
Edwin Lora, 2823954, SS|UT
Dalton Kelly, 2227207, 1B|UT
Jeffrey Passantino, 2837325, P
Justin Greene, 1740941, OF|UT
John Cresto, 3158254, 3B|UT
Zach Swanson, 29644502, P
Christian McGowan, 26911777, P
Royce Bolinger, 2048870, OF|UT
Austin Gauthier, 29090130, OF|UT
Will Brian, 29681598, P
Joe Record, 2837378, P
Luis Baez, 29170741, OF|UT
Wyatt Young, 28840775, SS|UT
Dylan Rosa, 2837436, OF|UT
Zack Leban, 2932873, P
Jared Reaves, 2050184, SS|UT
Avery Owusu-Asiedu, 29692326, OF|UT
Zach Messinger, 29087585, P
Alejandro Mateo, 29089078, P
Jack Sundberg, 2921532, OF|UT
Austin Davidson, 3077693, 1B|UT
Dom Thompson-Williams, 3083970, OF|UT
Daniel Lockhart, 1963328, 3B|UT
Mitchell Miller, 29085038, P
Robert Brooks, 29688600, C|UT
Caleb Ramsey, 2048646, OF|UT
Stephen Gaylor, 2803299, OF|UT
Matt Krook, 2453412, P
Luis Moreno, 29355685, P
Evan Kravetz, 29086294, P
Jack Murphy, 1808366, C|UT
Gavin LaValley, 2167348, 3B|UT
Payton Tolle, 29644503, P
Nathan Burns, 28838881, P
Tanner English, 2227626, OF|UT
Yordin Chalas, 29676682, P
Jonny Cuevas, 29342244, P
Brandon Brosher, 2772288, C|UT
Jeffrey Palumbo, 26876465, SS|UT
Shawn Ross, 29348842, SS|UT
Thomas Spitz, 2804673, OF|UT
Konnor Ash, 29679110, P
Rudy Martin, 2920829, OF|UT
Max Herrmann, 2869878, P
Kevin Coulter, 28838882, P
Roberto Alvarez, 2821210, C|UT
Tayler Scott, 2825846, P
Austin Krzeminski, 3094347, P
Elvis Rubio, 2797620, OF|UT
Eddy Rodriguez, 29348841, OF|UT
Jake DePew, 1961281, C|UT
Blake Hunt, 2837021, C|UT
Osvaldo Duarte, 2804919, SS|UT
Jason Martinson, 1961728, SS|UT
Richi Gonzalez, 28837563, OF|UT
Raimfer Salinas, 26615374, OF|UT
Kelly Dugan, 2107841, OF|UT
Evan Mendoza, 2837219, 3B|UT
Jacob Maton, 29686696, P
Gregori Cano, 29091620, SS|UT
Cameron Foster, 29676047, P
Stephen Janas, 2228462, P
Dylan O'Rae, 29075534, 2B|UT
Adinso Reyes, 3152051, 3B|UT
Jorge Vazquez, 1737859, 3B|UT
Armond Upshaw, 3104011, OF|UT
Tyler Erwin, 3101477, P
Bradgley Rodriguez, 29662264, P
Tanner Morris, 26615361, 2B|UT
Luis A. Garcia, 387511, OF|UT
Mason Vinyard, 29087632, P
Juan De La Cruz, 29321914, P
Justin Sterner, 28838027, P
Will Bednar, 26719600, P
Abdiel Layer, 2837113, 3B|UT
Johendi Jiminian, 2228484, P
Andrew Daniel, 2791771, 2B|UT
Martin Cervenka, 3084317, C|UT
Hayden Dunhurst, 29075691, C|UT
Phillip Diehl, 3090245, P
