Lex Rutledge, 2118850, P
Justin Crawford, 28920020, OF|U
Brandon Sandoval, 2837461, OF|U
Aaron Ochsenbein, 29084587, P
Luis Castillo, 28840950, P
Jordan McCants, 26911691, 2B|U
Bryan Evans, 2117050, P
Inohan Paniagua, 29077616, P
Kyle Wilcox, 29085050, P
Yacksel Rios, 2122191, P
Brandon Lewis, 3152040, 1B|U
Nathan Perry, 2837342, C|U
Yophery Rodriguez, 29322012, OF|U
Bill Knight, 29090869, OF|U
Hunter Cole, 2449454, OF|U
Jorma Rodriguez, 2803672, SS|U
Dillon Paulson, 2932997, 1B|U
Sam Weatherly, 2837668, P
Luis Vasquez, 3094399, P
Juan Mota, 2824573, P
Chris Hudgins, 3158014, C|U
Cobie Vance, 2933156, 2B|U
D'Shawn Knowles, 3077722, OF|U
Kevin Keyes, 1959455, OF|U
Ramon Santos, 2825804, P
Matthew Peguero, 2830306, P
Rhett Wiseman, 2507329, OF|U
Tim Elko, 29086250, 3B|U
Reshard Munroe, 2824604, OF|U
Jake Sanchez, 2798061, P
Willie Abreu, 2915815, OF|U
Winston Santos, 29322018, P
Deion Walker, 28843228, OF|U
Jimmy Allen, 2227980, 2B|U
Cody Bohanek, 2836619, SS|U
Miguel Bleis, 26643925, OF|U
Nick Zwack, 29077348, P
Dylan Burdeaux, 2836670, 1B|U
Todd Czinege, 2836776, 3B|U
Liam Hicks, 29329516, C|U
Brandt Stallings, 3104030, 1B|U
Johnny Rizer, 28838071, OF|U
Jake Rice, 29084218, P
Taylor Hawkins, 2171613, C|U
Henri Lartigue, 3095367, C|U
John Rave, 26615386, OF|U
Connor Kaiser, 2932843, SS|U
Alex Cornwell, 2836744, P
Marcus Davis, 2225422, 1B|U
Michael Danielak, 2836778, P
Kendall Williams, 3151908, P
Avery Romero, 2106659, 2B|U
Yorvis Torrealba, 29085803, OF|U
Bryan Dobzanski, 3157426, P
Randy Rodriguez, 26861452, P
Johan Dominguez, 2822450, P
Elvis Escobar, 2171039, P
Luis Serna, 29077663, P
Christian Donahue, 2923056, 2B|U
Jeral Toledo, 28843227, SS|U
Simon Whiteman, 3158503, SS|U
Gerson Molina, 3096714, OF|U
Brian Ellington, 2167495, P
Kyler Castillo, 28843164, OF|U
Erasmo Pinales, 2825114, P
Ethan Paul, 28840173, SS|U
Brett Netzer, 2837290, 2B|U
Eric Yang, 3152037, C|U
Jonny DeLuca, 2836800, OF|U
Moises Castillo, 2821909, SS|U
Kort Peterson, 3094749, OF|U
Carlos Duran, 26912445, P
Richard Castillo, 2218071, P
Juan Ciriaco, 2120516, SS|U
Jackson Fristoe, 29087622, P
Zacrey Law, 2228205, OF|U
Chris Madera, 2824030, OF|U
Joe Stewart, 29090134, OF|U
Tyler Hardman, 2836963, 3B|U
Matthew Wood, 29075737, C|U
Ozzie Martinez, 1735791, SS|U
Mark Karaviotis, 2921299, SS|U
Jackson Holliday, 28920005, SS|U
Nick Additon, 2117347, P
Max George, 2226661, C|U
Rayne Doncon, 26913005, 3B|U
Brock Jones, 29075486, OF|U
Luis Medina, 26616951, OF|U
Arden Pabst, 2921085, C|U
Kevin Garcia, 2171327, OF|U
Amaurys Minier, 2167501, OF|U
Jack Anderson, 29092492, P
Heath Holder, 3101499, OF|U
Alec Grosser, 2167345, P
Drew Millas, 26615322, C|U
Brad Kuntz, 2915605, P
JJ Muno, 2837271, 2B|U
Dan Rizzie, 3094751, C|U
Troy Montgomery, 2507198, OF|U
Doug Nikhazy, 26911762, P
Osvaldo Tovalin, 28846868, 3B|U
Rashad Brown, 2227898, OF|U
Wilmer Flores, 29077684, P
Starling Heredia, 2507502, OF|U
Parker Messick, 29075750, P
Logan Moon, 2226174, OF|U
Daniel Vazquez, 26643922, SS|U
Luis Gonzalez, 2169716, SS|U
Dariel Lopez, 28841665, 3B|U
Patrick Romeri, 26911703, OF|U
Kyle Regnault, 2226784, P
Freddy Pacheco, 26861449, P
Hedbert Perez, 3168848, OF|U
Logan Baldwin, 2836564, OF|U
Kodie Tidwell, 2227184, SS|U
Brian Holmes, 2615375, P
Cesar Berbesi, 29091130, SS|U
Alejandro Melean, 29077584, P
Nick Meyer, 2932937, C|U
Kewby Meyer, 2803301, 1B|U
Kyle Hooper, 2744184, P
Norge Ruiz, 2910639, P
Eliezer Alfonzo, 2829295, C|U
Simon Rodriguez, 29087232, OF|U
Jack Neely, 29087565, P
Rylan Bannon, 2836567, 2B|U
Julian Fernandez, 2902128, P
Danny Serretti, 29085925, SS|U
Alex FaGalde, 2836853, P
