Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Aaron Judge","NYY",159,686,558,156,80,27,0,49,114,124,116,15,178,6,5,1,,8,2,0.279083,0.169327,0.258891,0.654046,0.405903,0.591868,0.4162,0.99777,0.312785,3.53966,0.317417,0.073951,-0.430608,138.784,58.5375,176.548,-0.356657,-2.87091,59.72768944501877,-11.420905113220215,7.35449,3.0999999046325684,,,,,,,1230.1,7.736477987,1230.1,7.736477987,,,,,,,,,,,,,,,,,,,"Aaron Judge","15640",592450
"Bobby Witt Jr.","KCR",159,686,623,182,107,37,8,31,108,101,50,5,111,7,6,1,,32,11,0.29275,0.0728782,0.161738,0.450593,0.348587,0.52516,0.369805,0.873746,0.23241,7.13678,0.311475,1.41685,0.7422,113.169,32.9217,139.451,2.15905,4.05267,33.12494492530823,11.402672290802002,6.96418,1.7100000381469727,,,,,,,1041.5,6.550314465,1041.5,6.550314465,,,,,,,,,,,,,,,,,,,"Bobby Witt Jr.","25764",677951
"Juan Soto","NYM",159,686,542,152,87,27,2,35,113,100,135,7,112,4,4,1,,8,4,0.279986,0.196634,0.16388,1.19987,0.423749,0.530935,0.408491,0.954684,0.250949,3.80786,0.293208,-1.24115,-1.58154,134.528,54.2814,168.123,-2.82269,-3.87505,53.0599844455719,-12.22505521774292,6.5779,7.239999771118164,,,,,,,1148.9,7.225786163,1148.9,7.225786163,,,,,,,,,,,,,,,,,,,"Juan Soto","20123",665742
"Julio Rodríguez","SEA",157,679,618,172,112,29,2,29,96,92,48,3,159,9,3,1,,28,7,0.278753,0.0703654,0.234067,0.30062,0.337358,0.473925,0.348765,0.811283,0.195172,5.60102,0.329963,0.971788,1.29184,100.515,21.0873,135.499,2.26363,5.28363,29.843139171600342,7.508626699447632,6.19894,13.210000038146973,,,,,,,917.9,5.846496815,917.9,5.846496815,,,,,,,,,,,,,,,,,,,"Julio Rodriguez","23697",677594
"Gunnar Henderson","BAL",144,623,544,149,87,27,6,29,98,89,68,1,138,6,4,1,,16,4,0.274968,0.109753,0.221193,0.496186,0.359323,0.506779,0.371284,0.866101,0.23181,6.163,0.315986,1.06733,0.225389,103.517,30.6397,147.584,1.29272,-2.74135,35.21238362789154,3.6836459636688232,6.16533,8.630000114440918,,,,,,,916.7,6.365972222,916.7,6.365972222,,,,,,,,,,,,,,,,,,,"Gunnar Henderson","26289",683002
"Mookie Betts","LAD",156,672,577,162,97,34,3,28,108,93,83,3,93,6,5,1,,15,3,0.28088,0.123096,0.138279,0.890203,0.37439,0.497153,0.374441,0.871543,0.216274,5.30704,0.290261,0.334323,0.144376,113.366,34.7571,143.389,0.478699,-6.9491,35.3456956744194,-0.14910411834716797,5.94741,13.420000076293945,,,,,,,996.2,6.385897435,996.2,6.385897435,,,,,,,,,,,,,,,,,,,"Mookie Betts","13611",605141
"Francisco Lindor","NYM",159,686,607,157,95,31,3,28,101,89,63,2,130,10,5,2,,23,5,0.259323,0.0912817,0.189687,0.481223,0.336552,0.458025,0.343332,0.794576,0.198701,5.91281,0.28533,0.574581,1.30238,98.5519,18.305,124.266,1.87696,5.46517,21.78321075439453,12.565170764923096,5.90799,14.430000305175781,,,,,,,891.1,5.604402515,891.1,5.604402515,,,,,,,,,,,,,,,,,,,"Francisco Lindor","12916",596019
"Fernando Tatis Jr.","SDP",152,658,590,164,91,34,1,37,104,101,57,1,141,7,3,1,,19,4,0.277705,0.0866308,0.214183,0.404472,0.346374,0.529441,0.37368,0.875815,0.251736,5.21063,0.305077,0.951264,0.98478,110.602,33.63,144.856,1.93604,4.9458,37.2303706407547,-2.504195213317871,5.85066,11.359999656677246,,,,,,,997.4,6.561842105,997.4,6.561842105,,,,,,,,,,,,,,,,,,,"Fernando Tatis Jr.","19709",665487
"Shohei Ohtani","LAD",151,651,561,160,83,30,5,42,119,116,79,11,150,5,4,1,,36,6,0.284983,0.122094,0.22991,0.531051,0.376241,0.579697,0.400061,0.955938,0.294714,7.05507,0.315661,0.299401,3.37294,123.248,47.095,160.634,3.67234,0,50.87376570701599,-16.274999618530273,5.81341,1.4900000095367432,,,,,,,1148.9,7.608609271,1148.9,7.608609271,,,,,,,,,,,,,,,,,,,"Shohei Ohtani","19755",660271
"Yordan Alvarez","HOU",141,609,522,157,88,32,2,36,94,104,73,11,104,10,5,0,,3,1,0.301792,0.119128,0.170049,0.700547,0.393986,0.576684,0.407206,0.970671,0.274893,3.42856,0.314503,-0.56005,-0.816812,118.798,47.5587,171.773,-1.37686,-0.0580843,48.63618493080139,-13.28308468312025,5.75115,17.110000610351562,,,,,,,1051.7,7.458865248,1051.7,7.458865248,,,,,,,,,,,,,,,,,,,"Yordan Alvarez","19556",670541
