Lex Rutledge, 2118850, None, H, P
Justin Crawford, 28920020, None, H, OF|U
Brandon Sandoval, 2837461, None, H, OF|U
Aaron Ochsenbein, 29084587, None, H, P
Luis Castillo, 28840950, None, H, P
Ronald Belisario, 448908, None, H, P
Jordan McCants, 26911691, None, H, 2B|U
Bryan Evans, 2117050, None, H, P
Inohan Paniagua, 29077616, None, H, P
Kyle Wilcox, 29085050, None, H, P
Yacksel Rios, 2122191, None, H, P
Francisco Arcia, 1961535, None, H, C|U
Brandon Lewis, 3152040, None, H, 1B|U
Nathan Perry, 2837342, None, H, C|U
Yophery Rodriguez, 29322012, None, H, OF|U
Bill Knight, 29090869, None, H, OF|U
Hunter Cole, 2449454, None, H, OF|U
Jorma Rodriguez, 2803672, None, H, SS|U
Dillon Paulson, 2932997, None, H, 1B|U
Sam Weatherly, 2837668, None, H, P
Luis Vasquez, 3094399, None, H, P
Juan Mota, 2824573, None, H, P
Chris Hudgins, 3158014, None, H, C|U
Cobie Vance, 2933156, None, H, 2B|U
D'Shawn Knowles, 3077722, None, H, OF|U
Jaff Decker, 1717002, None, H, OF|U
Kevin Keyes, 1959455, None, H, OF|U
Ramon Santos, 2825804, None, H, P
Matthew Peguero, 2830306, None, H, P
Rhett Wiseman, 2507329, None, H, OF|U
Tim Elko, 29086250, None, H, 3B|U
John Curtiss, 2803669, None, H, P
Reshard Munroe, 2824604, None, H, OF|U
Jake Sanchez, 2798061, None, H, P
Willie Abreu, 2915815, None, H, OF|U
Winston Santos, 29322018, None, H, P
Deion Walker, 28843228, None, H, OF|U
Jimmy Allen, 2227980, None, H, 2B|U
Cody Bohanek, 2836619, None, H, SS|U
Miguel Bleis, 26643925, None, H, OF|U
Nick Zwack, 29077348, None, H, P
Danny Rosenbaum, 1982198, None, H, P
Dylan Burdeaux, 2836670, None, H, 1B|U
Todd Czinege, 2836776, None, H, 3B|U
Liam Hicks, 29329516, None, H, C|U
Brandt Stallings, 3104030, None, H, 1B|U
Johnny Rizer, 28838071, None, H, OF|U
Jake Rice, 29084218, None, H, P
Taylor Hawkins, 2171613, None, H, C|U
Henri Lartigue, 3095367, None, H, C|U
John Rave, 26615386, None, H, OF|U
Connor Kaiser, 2932843, None, H, SS|U
Alex Cornwell, 2836744, None, H, P
Marcus Davis, 2225422, None, H, 1B|U
Michael Danielak, 2836778, None, H, P
Kendall Williams, 3151908, None, H, P
Avery Romero, 2106659, None, H, 2B|U
Yorvis Torrealba, 29085803, None, H, OF|U
Bryan Dobzanski, 3157426, None, H, P
Jake Elmore, 1951311, None, H, 2B|U
Randy Rodriguez, 26861452, None, H, P
Johan Dominguez, 2822450, None, H, P
Elvis Escobar, 2171039, None, H, P
Luis Serna, 29077663, None, H, P
Christian Donahue, 2923056, None, H, 2B|U
Jeral Toledo, 28843227, None, H, SS|U
Simon Whiteman, 3158503, None, H, SS|U
Gerson Molina, 3096714, None, H, OF|U
Brian Ellington, 2167495, None, H, P
Kyler Castillo, 28843164, None, H, OF|U
Erasmo Pinales, 2825114, None, H, P
Ethan Paul, 28840173, None, H, SS|U
Brett Netzer, 2837290, None, H, 2B|U
Eric Yang, 3152037, None, H, C|U
Jonny DeLuca, 2836800, None, H, OF|U
Justice Bigbie, 28850995, None, H, OF|U
Moises Castillo, 2821909, None, H, SS|U
Rosell Herrera, 2090427, None, H, SS|U
Kort Peterson, 3094749, None, H, OF|U
Carlos Duran, 26912445, None, H, P
Richard Castillo, 2218071, None, H, P
Juan Ciriaco, 2120516, None, H, SS|U
Jackson Fristoe, 29087622, None, H, P
Zacrey Law, 2228205, None, H, OF|U
Chris Madera, 2824030, None, H, OF|U
Joe Stewart, 29090134, None, H, OF|U
Tyler Hardman, 2836963, None, H, 3B|U
Tommy Kahnle, 2040766, None, H, P
Matthew Wood, 29075737, None, H, C|U
Ozzie Martinez, 1735791, None, H, SS|U
Mark Karaviotis, 2921299, None, H, SS|U
Jackson Holliday, 28920005, None, H, SS|U
Nick Additon, 2117347, None, H, P
Max George, 2226661, None, H, C|U
Rayne Doncon, 26913005, None, H, 3B|U
Brock Jones, 29075486, None, H, OF|U
Luis Medina, 26616951, None, H, OF|U
Arden Pabst, 2921085, None, H, C|U
Kevin Garcia, 2171327, None, H, OF|U
Amaurys Minier, 2167501, None, H, OF|U
Jack Anderson, 29092492, None, H, P
Heath Holder, 3101499, None, H, OF|U
Alec Grosser, 2167345, None, H, P
Drew Millas, 26615322, None, H, C|U
Brad Kuntz, 2915605, None, H, P
JJ Muno, 2837271, None, H, 2B|U
Nick Martini, 2739976, None, H, OF|U
Dan Rizzie, 3094751, None, H, C|U
Daniel Palka, 2171296, None, H, 1B|U
Troy Montgomery, 2507198, None, H, OF|U
Doug Nikhazy, 26911762, None, H, P
Osvaldo Tovalin, 28846868, None, H, 3B|U
Rashad Brown, 2227898, None, H, OF|U
Wilmer Flores, 29077684, None, H, P
Starling Heredia, 2507502, None, H, OF|U
Harry Ford, 26719586, None, H, C|U
Parker Messick, 29075750, None, H, P
Logan Moon, 2226174, None, H, OF|U
Daniel Vazquez, 26643922, None, H, SS|U
Luis Gonzalez, 2169716, None, H, SS|U
Dariel Lopez, 28841665, None, H, 3B|U
Patrick Romeri, 26911703, None, H, OF|U
Ryan Goins, 1740939, None, H, U
Kyle Regnault, 2226784, None, H, P
Freddy Pacheco, 26861449, None, H, P
Hedbert Perez, 3168848, None, H, OF|U
Logan Baldwin, 2836564, None, H, OF|U
Kodie Tidwell, 2227184, None, H, SS|U
Brian Holmes, 2615375, None, H, P
Cesar Berbesi, 29091130, None, H, SS|U
Alejandro Melean, 29077584, None, H, P
Nick Meyer, 2932937, None, H, C|U
Kewby Meyer, 2803301, None, H, 1B|U
Kyle Hooper, 2744184, None, H, P
Norge Ruiz, 2910639, None, H, P
Eliezer Alfonzo, 2829295, None, H, C|U
Simon Rodriguez, 29087232, None, H, OF|U
Jack Neely, 29087565, None, H, P
Rylan Bannon, 2836567, None, H, 2B|U
Julian Fernandez, 2902128, None, H, P
Danny Serretti, 29085925, None, H, SS|U
Alex FaGalde, 2836853, None, H, P
Jeff Howell, 1660447, None, H, C|U
Josh Sale, 1765821, None, H, OF|U
John Garcia, 29087623, None, H, C|U
Tai Peete, 29153562, None, H, 3B|U
Julio Carreras, 26615332, None, H, SS|U
Anthony Hall, 29073329, None, H, OF|U
Trever Allen, 2227123, None, H, OF|U
Trey Cochran-Gill, 2169867, None, H, P
Brayan Medina, 29077591, None, H, P
Yendry Rojas, 29077689, None, H, SS|U
Noah Cameron, 29075748, None, H, P
Ashton McGee, 28841209, None, H, 2B|U
Ricky Vanasco, 2837628, None, H, P
Misael Tamarez, 26912519, None, H, P
Jared Reaves, 2050184, None, H, SS|U
Grant Gambrell, 26615448, None, H, P
Chris Betts, 3077689, None, H, C|U
Dereck Salom, 28846909, None, H, SS|U
Taylor Featherston, 2120251, None, H, SS|U
Jamie Westbrook, 2225420, None, H, 2B|U
Rico Noel, 1810709, None, H, OF|U
Alex Scherff, 2837475, None, H, P
Blade Tidwell, 29075475, None, H, P
Robert Garcia, 2836902, None, H, P
Miguel Perez, 2846113, None, H, OF|U
James Free, 29085482, None, H, C|U
Carmen Benedetti, 3094352, None, H, 1B|U
Everson Pereira, 3077717, None, H, OF|U
Pete Hansen, 29075751, None, H, P
Shayne Fontana, 28842421, None, H, OF|U
Alexander Palma, 2921007, None, H, OF|U
Alexander Mojica, 26912512, None, H, 1B|U
Ethan Lindow, 2837132, None, H, P
Grant McCray, 26615380, None, H, OF|U
Jeff Singer, 2804925, None, H, P
Miguel Nunez, 2739974, None, H, P
Julian Smith, 2933109, None, H, P
Victor Mateo, 1963323, None, H, P
Jhonathan Diaz, 2822412, None, H, P
Nick Kennedy, 2837072, None, H, P
Jamie Ritchie, 2227214, None, H, C|U
Cesar Gonzalez, 29321939, None, H, C|U
Ashur Tolliver, 2218462, None, H, P
Myles Jaye, 2216803, None, H, P
Eric Silva, 26911785, None, H, P
Matt Ramsey, 2121118, None, H, P
Luis Ramirez, 2825259, None, H, P
Cade Smith, 2837519, None, H, P
Jack Herman, 3077697, None, H, OF|U
Andretty Cordero, 2822098, None, H, U
Nick Kahle, 26615319, None, H, C|U
Kramer Robertson, 2837412, None, H, SS|U
Justin Boyd, 29075721, None, H, OF|U
Kyle Marman, 2932912, None, H, P
David Griffin, 29085281, None, H, P
Adam Mazur, 29065551, None, H, P
Cody Wilson, 2933202, None, H, OF|U
Devonte Brown, 29089884, None, H, OF|U
Jake Hager, 1894647, None, H, 2B|U
Jake Paulson, 2804238, None, H, P
John Church, 2113633, None, H, P
Luis Rijo, 2825381, None, H, P
Melvi Acosta, 2821084, None, H, P
John Rooney, 2933065, None, H, P
Anthony Veneziano, 29085466, None, H, P
Oliver Dunn, 29088699, None, H, 2B|U
Jin-De Jhang, 1961786, None, H, C|U
Rymer Liriano, 1806911, None, H, OF|U
Quentin Holmes, 2837002, None, H, OF|U
Alexis Ramirez, 26615451, None, H, P
Jeff Kemp, 2794536, None, H, SS|U
Josh Hatcher, 2836969, None, H, OF|U
Roderick Arias, 28839805, None, H, SS|U
Miguel Almonte, 2044500, None, H, P
Raudel Lazo, 2042432, None, H, P
Tyler Holton, 2837004, None, H, P
Stuart Levy, 2804676, None, H, C|U
Brando Mayea, 29321984, None, H, OF|U
Franco Aleman, 29085019, None, H, P
Collin Balester, 1262856, None, H, P
Marco Vargas, 29322044, None, H, SS|U
Nate Mondou, 2921058, None, H, 2B|U
Tyler Owens, 26615411, None, H, P
Cole Wilcox, 3166988, None, H, P
Anthony Molina, 29078780, None, H, P
Jason Hagerty, 1793608, None, H, C|U
Joe Broussard, 2803675, None, H, P
Jacob Pearson, 2837331, None, H, OF|U
Alex Wells, 2507506, None, H, P
Tom Belza, 2050172, None, H, 2B|U
Jacob Berry, 28920009, None, H, 3B|U
Kole Enright, 2506933, None, H, OF|U
Mariel Bautista, 2821469, None, H, OF|U
Alex Mooney, 29321989, None, H, SS|U
Isan Castillo, 29087581, None, H, SS|U
Trevor Kelley, 2797616, None, H, P
Andres Sthormes, 2826079, None, H, C|U
Capri Ortiz, 29322001, None, H, SS|U
Kelvin Caceres, 29228517, None, H, P
Sammy Peralta, 28846908, None, H, P
Joshua Walker, 26912491, None, H, P
Corey Joyce, 3157919, None, H, SS|U
Juan Gomes, 2171881, None, H, C|U
Cory Gearrin, 1740938, None, H, P
John Fasola, 2822641, None, H, P
Jack Perkins, 29321685, None, H, P
Kyle Johnson, 2120721, None, H, OF|U
Andrew Sohn, 2227900, None, H, SS|U
Tyler Mattison, 26911773, None, H, P
Blake Goldsberry, 29089621, None, H, P
Felix Perez, 1804116, None, H, OF|U
Garrett Schilling, 2837476, None, H, P
Evan Grills, 3088371, None, H, P
