Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Tarik Skubal","DET",14,9,22,2.83362,32,32,0,0,,198,789,160,68,62,18,43,,7,229,10.406,1.93289,5.38366,0.828834,0.2903,0.0539225,0.23637786135077477,0.216108,1.02151,0.287615,0.760726,,,2.80056,5.4938,5.53381,14.180000305175781,,,,,,,1135.8,5.736363636363636,1064,5.373737373737374,,,,,,,,,,,,,,,,,,,"Tarik Skubal","22267",669373
"Paul Skenes","PIT",11,7,20,3.00098,31,31,0,0,,174,700,139,64,58,16,50,,6,213,11.0601,2.57572,4.29401,0.85461,0.304773,0.0709764,0.23379705846309662,0.214979,1.08431,0.294373,0.75497,,,2.90205,4.7962,4.88722,11.079999923706055,,,,,,,987.4000000000002,5.674712643678162,920,5.287356321839081,,,,,,,,,,,,,,,,,,,"Paul Skenes","33677",694973
"Zack Wheeler","PHI",14,9,20,3.29923,32,32,0,0,,202,821,170,80,74,21,53,,8,214,9.52468,2.36115,4.03392,0.952929,0.260563,0.0645931,0.1959703266620636,0.22436,1.10538,0.284249,0.739745,,,3.33851,4.78304,4.93397,21.760000228881836,,,,,,,1039.5000000000002,5.146039603960397,982,4.861386138613861,,,,,,,,,,,,,,,,,,,"Zack Wheeler","10310",554430
"Chris Sale","ATL",14,7,20,3.02914,31,31,0,0,,182,743,152,67,61,18,47,,10,224,11.0564,2.3097,4.78696,0.890388,0.30131,0.0629438,0.2383657917380333,0.22116,1.08992,0.30092,0.760368,,,2.92374,4.59488,4.9585,36.209999084472656,,,,,,,1007.1999999999998,5.534065934065933,953,5.236263736263736,,,,,,,,,,,,,,,,,,,"Chris Sale","10603",519242
"Garrett Crochet","BOS",13,7,19,2.98487,31,31,0,0,,157,639,126,57,52,14,49,,5,200,11.4743,2.7988,4.09971,0.811864,0.312784,0.076294,0.23648962378501892,0.215814,1.11684,0.302099,0.762181,,,2.81526,4.53832,4.60541,24.489999771118164,,,,,,,899.9999999999999,5.732484076433121,841,5.356687898089172,,,,,,,,,,,,,,,,,,,"Garrett Crochet","27463",676979
"Jacob deGrom","TEX",9,5,16,2.98634,26,26,0,0,,132,518,100,47,44,16,27,,4,177,12.1162,1.8435,6.5724,1.10352,0.34294,0.0521787,0.29076099023222923,0.205777,0.964952,0.286515,0.768185,,,2.76307,4.04216,3.5605,49.040000915527344,,,,,,,781.0000000000002,5.916666666666669,713,5.401515151515151,,,,,,,,,,,,,,,,,,,"Jacob deGrom","10954",594798
"Logan Webb","SFG",13,10,20,3.3225,32,32,0,0,,201,831,194,82,74,16,44,,6,171,7.6773,1.98391,3.86978,0.698659,0.206229,0.0532921,0.15293660014867783,0.248431,1.18612,0.300378,0.72413,,,3.21728,3.9439,4.05999,97.75,,,,,,,978.2000000000002,4.866666666666667,989,4.920398009950249,,,,,,,,,,,,,,,,,,,"Logan Webb","17995",657277
"Corbin Burnes","ARI",13,8,19,3.33215,31,31,0,0,,188,773,167,76,70,18,53,,7,188,8.99891,2.53675,3.54741,0.871974,0.243236,0.068567,0.1746685951948166,0.233488,1.16696,0.29258,0.741467,,,3.38609,3.7413,4.42762,36.41999816894531,,,,,,,931.5999999999999,4.955319148936169,902,4.797872340425532,,,,,,,,,,,,,,,,,,,"Corbin Burnes","19361",669203
"Dylan Cease","SDP",13,10,19,3.45712,32,32,0,0,,185,766,150,76,71,21,69,,6,218,10.6445,3.37349,3.15533,1.0208,0.285056,0.0903412,0.1947150006890297,0.216433,1.18492,0.284729,0.751168,,,3.49404,3.68753,3.85043,47.61000061035156,,,,,,,931.7,5.036216216216216,863,4.664864864864865,,,,,,,,,,,,,,,,,,,"Dylan Cease","18525",656302
"Cole Ragans","KCR",12,9,18,3.50653,31,31,0,0,,179,748,153,75,70,19,67,,6,201,10.1171,3.36924,3.00279,0.938013,0.26847,0.0894068,0.17906346172094345,0.22643,1.23004,0.294612,0.745059,,,3.49753,3.58545,4.02011,46,,,,,,,876.1000000000001,4.89441340782123,831,4.64245810055866,,,,,,,,,,,,,,,,,,,"Cole Ragans","21846",666142
"Yoshinobu Yamamoto","LAD",12,7,16,3.43337,28,28,0,0,,163,650,136,67,62,18,39,,4,168,9.32286,2.16948,4.29728,1.02023,0.259225,0.060323,0.19890177994966507,0.22457,1.07833,0.280683,0.723543,,,3.37142,3.55428,3.48388,59.529998779296875,,,,,,,838.1999999999999,5.1423312883435575,788,4.8343558282208585,,,,,,,,,,,,,,,,,,,"Yoshinobu Yamamoto","33825",808967
"Pablo López","MIN",13,10,18,3.69961,32,32,0,0,,192,793,175,85,79,24,48,,9,201,9.42164,2.2386,4.20873,1.12165,0.253212,0.0601636,0.19304868951439857,0.238315,1.16393,0.296225,0.726343,,,3.57492,3.54316,3.31573,71.94000244140625,,,,,,,901.6000000000001,4.695833333333334,879,4.578125,,,,,,,,,,,,,,,,,,,"Pablo Lopez","17085",641154
