IDPLAYER,PLAYERNAME,FIRSTNAME,LASTNAME,IDFANGRAPHS,FANGRAPHSNAME,MLBID,MLBNAME,CBSID,CBSNAME,BREFID,ESPNID,ESPNNAME,BPID,FANTPROSNAME,LASTCOMMAFIRST,RAZZBALLNAME
zavalaa01,Aaron Zavala,Aaron,Zavala,sa3017665,Aaron Zavala,701648,Aaron Zavala,26911720,Aaron Zavala,zavalaa01,,Aaron Zavala,,Aaron Zavala,"Zavala, Aaron",Aaron Zavala
alexyaj01,A.J. Alexy,A.J.,Alexy,22343,A.J. Alexy,669935,A.J. Alexy,3077703,A.J. Alexy,alexyaj01,,A.J. Alexy,108820,A.J. Alexy,"Alexy, A.J.",A.J. Alexy
minteaj01,A.J. Minter,A.J.,Minter,18655,A.J. Minter,621345,A.J. Minter,2449982,A.J. Minter,minteaj01,36133,A.J. Minter,108235,A.J. Minter,"Minter, A.J.",A.J. Minter
polloaj01,A.J. Pollock,A.J.,Pollock,9256,AJ Pollock,572041,A.J. Pollock,1740992,A.J. Pollock,polloaj01,30699,A.J. Pollock,60932,AJ Pollock,"Pollock, A.J.",AJ Pollock
pukaj01,A.J. Puk,A.J.,Puk,19343,A.J. Puk,640462,A.J. Puk,2250620,A.J. Puk,pukaj01,36201,A.J. Puk,109027,A.J. Puk,"Puk, A.J.",A.J. Puk
ashbyaa01,Aaron Ashby,Aaron,Ashby,23550,Aaron Ashby,676879,Aaron Ashby,2836553,Aaron Ashby,ashbyaa01,,Aaron Ashby,112434,Aaron Ashby,"Ashby, Aaron",Aaron Ashby
bummeaa01,Aaron Bummer,Aaron,Bummer,16258,Aaron Bummer,607481,Aaron Bummer,2637180,Aaron Bummer,bummeaa01,36131,Aaron Bummer,71057,Aaron Bummer,"Bummer, Aaron",Aaron Bummer
civalaa01,Aaron Civale,Aaron,Civale,19479,Aaron Civale,650644,Aaron Civale,2507332,Aaron Civale,civalaa01,40934,Aaron Civale,107636,Aaron Civale,"Civale, Aaron",Aaron Civale
hicksaa01,Aaron Hicks,Aaron,Hicks,5297,Aaron Hicks,543305,Aaron Hicks,1669559,Aaron Hicks,hicksaa01,31253,Aaron Hicks,57967,Aaron Hicks,"Hicks, Aaron",Aaron Hicks
judgeaa01,Aaron Judge,Aaron,Judge,15640,Aaron Judge,592450,Aaron Judge,2071264,Aaron Judge,judgeaa01,33192,Aaron Judge,68603,Aaron Judge,"Judge, Aaron",Aaron Judge
loupaa01,Aaron Loup,Aaron,Loup,10343,Aaron Loup,571901,Aaron Loup,1960798,Aaron Loup,loupaa01,32397,Aaron Loup,60619,Aaron Loup,"Loup, Aaron",Aaron Loup
nolaaa01,Aaron Nola,Aaron,Nola,16149,Aaron Nola,605400,Aaron Nola,2133925,Aaron Nola,nolaaa01,33709,Aaron Nola,70943,Aaron Nola,"Nola, Aaron",Aaron Nola
sanchaa01,Aaron Sanchez,Aaron,Sanchez,11490,Aaron Sanchez,592717,Aaron Sanchez,1757987,Aaron Sanchez,sanchaa01,31254,Aaron Sanchez,67107,Aaron Sanchez,"Sanchez, Aaron",Aaron Sanchez
almonab01,Abraham Almonte,Abraham,Almonte,5486,Abraham Almonte,501659,Abraham Almonte,1813191,Abraham Almonte,almonab01,31474,Abraham Almonte,50910,Abraham Almonte,"Almonte, Abraham",Abraham Almonte
toroab01,Abraham Toro,Abraham,Toro,19844,Abraham Toro,647351,Abraham Toro,2921390,Abraham Toro-Hernandez,toroab01,40754,Abraham Toro,109090,Abraham Toro,"Toro, Abraham",Abraham Toro
mondera02,Adalberto Mondesi,Adalberto,Mondesi,13769,Adalberto Mondesi,609275,Adalberto Mondesi,2044531,Adalberto Mondesi,mondera02,32821,Adalberto Mondesi,100344,Adalberto Mondesi,"Mondesi, Adalberto",Adalberto Mondesi
cimbead01,Adam Cimber,Adam,Cimber,15288,Adam Cimber,643256,Adam Cimber,2228215,Adam Cimber,cimbead01,35780,Adam Cimber,103333,Adam Cimber,"Cimber, Adam",Adam Cimber
duvalad01,Adam Duvall,Adam,Duvall,10950,Adam Duvall,594807,Adam Duvall,2042091,Adam Duvall,duvalad01,32664,Adam Duvall,67744,Adam Duvall,"Duvall, Adam",Adam Duvall
engelad01,Adam Engel,Adam,Engel,15082,Adam Engel,641553,Adam Engel,2169649,Adam Engel,engelad01,34064,Adam Engel,102578,Adam Engel,"Engel, Adam",Adam Engel
fraziad01,Adam Frazier,Adam,Frazier,15223,Adam Frazier,624428,Adam Frazier,2121473,Adam Frazier,fraziad01,33546,Adam Frazier,101618,Adam Frazier,"Frazier, Adam",Adam Frazier
haselad01,Adam Haseley,Adam,Haseley,19878,Adam Haseley,656514,Adam Haseley,2835060,Adam Haseley,haselad01,41082,Adam Haseley,109984,Adam Haseley,"Haseley, Adam",Adam Haseley
kolarad01,Adam Kolarek,Adam,Kolarek,10843,Adam Kolarek,592473,Adam Kolarek,2113634,Adam Kolarek,kolarad01,33130,Adam Kolarek,67034,Adam Kolarek,"Kolarek, Adam",Adam Kolarek
ollerad01,Adam Oller,Adam,Oller,20132,Adam Oller,670124,Adam Oller,26861446,Adam Oller,ollerad01,,Adam Oller,108325,Adam Oller,"Oller, Adam",Adam Oller
ottavad01,Adam Ottavino,Adam,Ottavino,1247,Adam Ottavino,493603,Adam Ottavino,1537191,Adam Ottavino,ottavad01,29705,Adam Ottavino,51434,Adam Ottavino,"Ottavino, Adam",Adam Ottavino
plutkad01,Adam Plutko,Adam,Plutko,15846,Adam Plutko,592644,Adam Plutko,2169611,Adam Plutko,plutkad01,34955,Adam Plutko,68656,Adam Plutko,"Plutko, Adam",Adam Plutko
wainwad01,Adam Wainwright,Adam,Wainwright,2233,Adam Wainwright,425794,Adam Wainwright,389743,Adam Wainwright,wainwad01,5403,Adam Wainwright,31361,Adam Wainwright,"Wainwright, Adam",Adam Wainwright
alzolad01,Adbert Alzolay,Adbert,Alzolay,17859,Adbert Alzolay,640470,Adbert Alzolay,2821213,Adbert Alzolay,alzolad01,39802,Adbert Alzolay,102443,Adbert Alzolay,"Alzolay, Adbert",Adbert Alzolay
bargead01,Addison Barger,Addison,Barger,sa3006910,Addison Barger,680718,Addison Barger,2932270,Addison Barger,bargead01,,Addison Barger,112867,Addison Barger,"Barger, Addison",Addison Barger
